id	name	north	south	east	west	high	low
14100	Trail to Botanical Beach, Port Renfrew, British Columbia, Canada	48.5508	48.5124	-124.415	-124.452	NULL	NULL
14101	Tower Hill State Park, Wisconsin, USA	43.1507	43.145	-90.0438	-90.0498	NULL	NULL
14102	Frozen Head State Park, Morgan Co., Tennessee, USA	36.1627	36.0621	-84.4215	-84.5887	1013	366
14103	7780 Stokes Ferry Rd., Salisbury, North Carolina, USA	35.5986	35.5959	-80.3596	-80.3623	NULL	NULL
14104	Mosterhamn, Moster, Bømlo, Norway	59.7086	59.6973	5.39713	5.36512	NULL	NULL
14105	Karow, Berlin, Germany	52.6236	52.6169	13.4656	13.4573	NULL	NULL
14106	Kettletown State Park, Oxford, Connecticut, USA	41.4354	41.3999	-73.1783	-73.225	NULL	NULL
14107	Wildwood, New Jersey, USA	38.9988	38.9769	-74.8019	-74.8335	NULL	NULL
14108	Giles County, Virginia, USA	37.5603	37.2261	-80.1478	-80.7289	NULL	NULL
14109	Slippery Rock Area Parks and Recreation, Slippery Rock, Pennsylvania, USA	41.0712	41.0658	-80.0526	-80.0599	NULL	NULL
14110	Colebrook, New Hampshire, USA	44.9096	44.8779	-71.469	-71.5098	315	NULL
14111	Villa Rundill Gardens, Victoria, Malta	80	-80	89	-89	NULL	NULL
14112	Paul Smiths, New York, USA	44.442	44.4312	-74.2432	-74.2629	NULL	NULL
14113	Sleepy Hollow, New York, USA	41.1097	41.08	-73.8445	-73.8744	NULL	NULL
14114	Creamer's Field, Fairbanks, Alaska, USA	64.8859	64.8595	-147.685	-147.797	142	NULL
14115	West Shokan, Olive, New York, USA	41.9739	41.9634	-74.2745	-74.2992	NULL	NULL
14116	West Shokan, New York, USA	41.9953	41.9374	-74.2505	-74.3205	334	NULL
14117	Grantham, New Hampshire, USA	43.574	43.4696	-72.0909	-72.2149	343	NULL
14118	Sterling Heights, Michigan, USA	42.6278	42.5348	-82.9696	-83.0914	193	NULL
14119	Boonsboro, Maryland, USA	39.5321	39.4916	-77.6377	-77.6774	158	NULL
14120	Tay Ninh province, Vietnam	11.7795	10.9627	106.491	105.809	986	NULL
14121	Santa Fe National Forest, Sandoval Co., New Mexico, USA	35.9566	35.5348	-106.08	-106.931	2195	NULL
14122	La Bufa, San Sebastian del Oeste, Jalisco, Mexico	20.837	20.777	-104.79	-104.857	NULL	NULL
14123	Mina La Terronera, San Sebastian del Oeste, Jalisco, Mexico	20.778	20.7702	-104.837	-104.846	NULL	NULL
14124	Siggjo, Moster, Bømlo, Norway	59.7605	59.7493	5.32944	5.29742	NULL	NULL
14125	Kattnakken, Ådnanes, Bømlo, Norway	59.9524	59.5543	5.4048	5.00134	NULL	NULL
